"ASI1";"ASI2";"ASI3";"ASI4";"ASI5";"ASI6";"ASI7";"ASI8";"ASI9";"ASI10";"ASI11";"ASI12";"ASI13";"ASI14";"ASI15";"ASI16";"ASI17";"ASI18";"ASI19";"ASI20";"ASI21";"ASI22";"ASI";"HS";"BS"
3;3;3;3;3;3;3;3;4;4;4;4;1;1;1;1;1;1;1;2;2;5;56;26;30
5;4;3;5;5;5;5;4;5;3;4;5;4;5;5;5;3;4;4;3;3;4;93;48;45
5;5;1;3;5;1;5;3;5;3;3;5;5;3;1;3;3;3;5;3;5;5;80;39;41
3;3;3;4;4;5;5;3;4;3;4;1;1;3;1;4;5;3;3;3;3;3;71;37;34
3;2;5;4;3;4;3;1;4;1;1;2;1;3;1;1;1;3;1;1;1;4;50;23;27
1;5;3;5;4;5;2;1;3;3;2;1;1;1;1;5;1;3;1;1;4;2;55;35;20
3;4;4;4;4;5;5;3;5;4;5;3;2;3;2;4;2;4;3;1;4;2;76;43;33
5;5;3;4;4;5;5;4;4;1;3;3;3;2;1;4;4;1;3;1;4;2;71;34;37
2;4;3;4;5;5;5;2;5;3;5;3;2;2;2;5;1;3;2;1;3;2;69;41;28
1;5;2;4;5;5;4;2;5;4;4;4;1;4;2;4;2;4;1;1;3;2;69;43;26
2;5;3;5;3;5;5;3;4;2;5;1;1;3;1;3;2;5;3;1;3;1;66;40;26
3;4;4;2;4;4;3;3;5;2;3;2;2;4;2;3;3;4;3;2;3;4;69;34;35
4;3;4;3;2;3;3;4;4;3;3;4;3;3;3;3;3;3;3;3;3;3;70;32;38
1;2;3;2;1;4;2;1;3;1;1;1;1;1;1;1;1;1;1;1;3;1;34;16;18
1;1;3;4;1;1;5;1;3;1;1;3;1;1;1;1;3;1;1;1;1;1;37;18;19
1;5;3;3;2;5;4;3;5;3;3;3;1;1;1;3;4;2;3;1;3;3;62;30;32
3;3;1;5;4;5;5;4;2;1;3;3;1;1;1;2;2;1;1;1;2;4;55;28;27
1;1;2;4;1;4;4;1;4;1;1;1;1;1;1;4;1;1;1;1;3;1;40;22;18
5;5;3;3;5;3;3;3;5;4;3;3;3;3;4;3;5;5;4;3;3;5;83;41;42
5;4;3;4;5;5;5;3;5;4;4;2;2;3;2;4;2;5;2;3;4;1;77;44;33
4;2;1;2;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;64;31;33
2;1;1;4;3;2;3;2;5;3;3;3;2;1;1;4;1;3;3;1;1;1;50;27;23
1;1;3;2;1;5;1;1;2;1;1;4;1;1;1;1;4;1;4;1;1;4;42;12;30
1;5;4;5;5;5;5;3;3;4;5;2;1;5;2;5;5;4;2;3;4;5;83;49;34
3;5;5;5;3;5;3;4;5;4;3;5;3;3;3;3;4;3;3;3;3;2;80;38;42
4;5;3;5;5;4;5;1;4;3;3;2;1;3;3;3;2;3;4;2;2;4;71;40;31
4;3;4;3;2;4;4;4;3;2;2;4;2;2;2;2;2;1;2;1;1;2;56;24;32
3;4;3;4;2;2;2;4;4;3;2;2;1;4;3;2;4;4;2;1;2;2;60;32;28
1;1;1;1;2;1;1;4;4;1;3;3;1;1;1;1;1;3;1;1;1;3;37;16;21
2;1;2;1;1;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;28;11;17
4;4;3;4;3;3;4;4;4;4;4;4;4;3;2;4;2;4;3;3;3;4;77;39;38
2;4;3;4;2;5;4;2;4;3;3;3;1;3;3;3;3;3;2;1;3;3;64;35;29
3;5;3;4;4;5;1;3;4;3;3;4;1;4;3;5;3;4;4;4;3;3;76;39;37
1;1;1;4;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;27;14;13
2;5;5;3;3;5;4;3;2;2;1;1;1;1;1;2;1;1;1;4;1;4;53;24;29
1;2;2;1;1;2;1;1;5;1;1;2;1;1;1;1;2;1;2;1;1;2;33;12;21
3;2;4;3;3;3;4;3;5;2;3;3;3;2;2;2;4;3;2;2;3;3;64;29;35
2;4;4;4;5;2;3;2;4;2;4;2;3;3;3;3;2;4;5;2;3;4;70;38;32
3;2;3;5;4;4;2;1;3;2;3;3;2;4;2;3;3;3;1;3;2;1;59;32;27
1;3;1;4;1;5;4;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;36;21;15
