"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source"
4,5,4,1,4,5,5,3,4,5,3,4,3,5,2,5,1,3,3,5,1,3,4,3,5,1,2,"US",3
5,5,5,2,5,5,5,5,5,5,2,3,2,5,2,5,1,2,5,2,5,5,5,5,5,4,5,"GB",1
5,4,4,2,4,4,5,4,4,4,2,3,4,3,2,4,2,4,2,2,4,3,4,4,1,5,4,"US",2
5,5,4,4,5,5,5,4,5,4,5,3,3,4,5,4,1,4,5,4,4,4,5,4,5,5,4,"IN",2
5,5,4,2,5,5,5,4,4,5,2,5,4,5,1,5,1,5,5,1,5,3,5,4,5,5,5,"CA",1
5,3,4,1,4,3,5,3,3,4,1,4,4,2,2,4,1,1,5,3,5,5,5,5,4,5,5,"US",1
4,5,3,4,4,4,5,4,5,4,5,3,3,4,3,3,4,5,4,3,3,2,4,3,5,4,3,"AU",3
4,5,4,5,4,4,5,2,4,3,2,2,2,4,3,2,4,2,2,2,2,3,4,2,4,5,2,"AU",1
5,5,5,3,5,5,5,5,5,3,5,2,2,4,5,2,1,4,4,4,5,2,5,2,5,5,5,"US",1
4,3,3,2,4,4,4,3,2,2,5,2,2,2,4,2,4,3,2,4,2,1,1,4,5,1,2,"US",1
5,5,4,4,5,5,5,5,5,2,5,5,2,5,2,1,2,3,3,3,4,4,5,5,5,3,5,"US",1
4,2,4,3,1,3,4,4,3,2,3,1,2,3,4,2,2,4,3,4,3,2,4,3,4,2,2,"GB",1
1,5,5,1,5,4,1,2,4,4,4,2,1,1,5,1,1,5,2,5,5,1,1,3,5,1,5,"AU",1
4,5,5,4,5,5,5,5,5,5,4,5,1,5,1,1,1,5,5,4,5,1,5,5,5,5,5,"DK",3
5,4,3,4,5,5,5,3,4,3,4,3,3,3,1,3,3,3,4,2,4,5,4,5,2,3,3,"US",1
5,5,4,4,4,5,5,4,5,3,2,3,4,5,1,3,1,5,4,2,3,1,4,4,2,3,3,"CA",1
5,4,4,3,5,5,5,2,4,4,2,4,3,3,1,4,1,3,3,2,3,2,4,4,5,1,3,"GB",1
3,4,3,4,4,4,4,4,4,3,4,3,3,3,1,4,2,4,4,2,4,4,5,4,4,5,5,"FI",3
5,5,5,4,5,5,5,5,5,4,2,4,4,5,2,4,1,5,2,1,2,2,5,4,5,5,5,"US",3
4,5,2,2,2,3,4,4,5,5,2,3,4,4,4,3,2,4,5,2,1,4,5,4,2,1,2,"US",2
5,2,4,1,5,1,5,3,5,5,5,2,1,5,2,4,2,5,2,5,1,4,2,4,2,1,5,"IE",1
4,4,2,2,2,4,4,4,4,2,3,2,2,2,4,2,4,4,4,4,4,2,4,3,2,2,2,"US",1
4,3,3,3,5,3,5,3,4,1,5,1,1,3,4,1,4,1,3,1,1,4,4,1,5,1,2,"GB",1
4,4,3,4,4,3,4,3,5,4,4,1,4,4,4,4,2,5,5,1,4,4,2,5,1,4,4,"CA",1
4,4,3,5,4,5,5,4,4,3,5,4,4,4,2,2,1,5,4,3,4,2,5,4,4,3,4,"GB",1
5,5,3,3,5,5,5,3,3,5,2,3,4,4,1,5,2,5,4,2,4,5,5,5,5,3,4,"GB",1
5,4,2,2,1,4,5,2,4,4,2,1,1,2,4,4,2,4,3,5,2,2,4,2,4,2,3,"US",1
4,4,3,2,3,4,4,3,4,4,2,2,3,4,3,3,3,3,4,3,3,2,4,3,4,3,2,"NO",1
4,4,2,4,4,5,5,2,4,4,4,1,1,4,4,1,5,4,2,4,1,2,4,2,5,1,3,"US",3
4,4,5,4,4,4,4,5,4,3,3,3,2,4,3,2,3,4,3,1,4,3,4,3,1,4,4,"GB",1
5,3,4,4,2,3,5,2,5,3,2,2,1,4,5,4,3,3,2,3,3,2,3,3,3,3,1,"GB",3
4,1,1,2,1,1,4,1,1,1,5,3,1,2,4,1,5,1,1,2,1,5,3,1,3,1,1,"US",1
4,2,3,3,2,2,4,2,2,2,2,2,3,4,2,2,3,0,2,4,2,1,3,2,4,4,1,"US",1
5,5,1,1,5,5,5,5,5,5,3,4,1,5,1,1,3,1,4,1,2,1,5,5,2,1,5,"US",1
5,2,2,5,2,3,5,4,4,5,2,2,3,2,2,4,2,4,3,4,2,2,5,4,4,2,1,"SE",1
4,5,2,1,5,5,5,2,5,2,2,2,2,5,1,4,1,5,2,2,2,4,5,2,1,2,2,"US",1
4,5,4,1,5,5,5,3,5,4,2,4,1,4,2,4,1,5,5,1,5,1,5,5,2,4,4,"US",3
4,4,3,2,4,2,5,5,2,2,4,2,1,3,4,2,5,2,1,3,2,1,5,2,1,2,3,"US",1
4,5,2,5,3,5,5,3,5,3,2,2,1,3,4,1,5,3,2,4,3,1,2,1,5,3,3,"RO",2
5,5,4,5,5,5,5,4,5,2,4,2,1,2,3,1,4,4,4,4,1,2,4,2,1,1,3,"US",1
4,3,2,1,4,5,4,3,5,1,5,1,3,3,5,3,4,3,1,5,2,1,4,3,5,1,3,"US",1
5,3,4,5,4,3,5,3,5,3,5,4,4,5,4,3,2,3,3,2,3,3,4,3,5,3,4,"US",1
5,4,4,5,5,5,5,4,4,2,4,4,2,2,4,2,4,3,4,2,1,2,4,3,3,1,4,"US",3
5,5,4,5,5,5,5,4,4,1,5,1,3,2,4,1,5,3,4,5,1,1,4,4,5,1,4,"AU",1
5,4,4,1,4,4,5,4,5,3,2,2,2,4,4,2,2,5,4,2,4,5,5,4,2,4,4,"US",3
5,2,2,4,2,3,4,3,4,3,2,2,3,3,2,3,4,3,2,3,2,2,4,3,1,2,2,"US",1
5,3,0,3,3,5,5,4,4,2,4,3,3,4,5,3,3,3,4,2,4,3,4,3,2,3,3,"IN",1
3,1,4,3,1,1,4,1,2,4,3,2,2,4,3,1,3,2,1,2,1,2,4,2,2,1,1,"US",1
4,1,1,1,4,5,3,3,4,1,5,3,1,3,4,5,5,2,4,2,2,3,5,4,5,1,3,"GB",1
4,4,3,5,3,3,4,4,5,2,1,3,1,3,1,4,4,3,3,5,2,2,5,3,5,4,2,"US",2
3,1,1,3,1,1,4,1,2,4,3,1,1,4,4,1,5,2,3,1,1,1,3,3,5,1,1,"DE",1
5,5,4,4,5,4,4,3,4,3,2,1,2,4,2,2,3,4,4,3,4,3,2,2,1,2,5,"US",3
3,1,3,2,1,1,4,2,3,3,2,1,1,5,1,1,5,1,1,5,1,1,2,1,2,4,1,"US",1
5,5,5,5,5,5,5,5,5,3,2,3,3,5,2,2,2,4,4,4,5,1,5,3,5,1,5,"CA",1
3,4,2,2,2,3,5,4,4,5,5,2,5,3,4,2,3,3,4,4,4,2,5,2,5,1,2,"US",1
3,2,2,4,3,2,5,2,1,1,5,4,4,1,5,4,5,2,2,3,1,5,4,2,2,4,2,"US",2
4,5,2,2,5,4,4,4,5,3,4,2,1,3,3,1,3,4,3,4,4,4,5,4,5,1,4,"GB",1
4,2,2,3,4,4,4,2,3,4,5,3,2,4,5,2,4,3,2,4,2,2,3,2,4,2,2,"US",1
5,5,5,5,5,5,5,4,5,5,1,5,2,5,4,5,1,5,5,5,1,1,4,5,3,5,5,"ZA",3
2,4,3,4,1,2,5,4,2,1,5,1,1,3,5,1,4,5,3,4,1,2,4,4,5,1,3,"GB",1
2,1,2,2,1,1,4,3,3,4,4,1,2,2,3,2,4,2,1,4,3,1,1,1,5,1,1,"US",1
5,4,3,3,2,3,4,4,4,4,5,2,2,3,4,2,3,4,3,3,2,3,4,3,2,3,3,"GB",1
4,4,4,5,4,3,5,3,5,2,2,2,4,4,4,4,4,4,2,5,2,1,4,1,5,2,4,"US",1
5,2,3,3,2,3,3,1,2,5,4,2,2,3,3,2,3,1,1,5,1,1,2,3,5,1,1,"US",3
3,5,1,3,5,4,5,3,5,3,3,1,3,3,4,4,1,4,5,4,1,5,5,3,5,1,1,"US",2
5,4,4,4,4,5,5,4,5,3,2,3,3,3,5,3,1,4,2,3,5,2,5,3,1,3,4,"US",3
5,5,5,5,5,1,5,5,5,5,1,5,5,5,1,5,2,5,5,1,5,1,5,5,1,5,5,"GB",1
4,2,4,4,2,2,5,3,4,3,4,1,3,4,4,2,2,2,2,4,1,2,3,1,5,1,2,"GB",1
5,4,4,5,4,4,5,4,5,5,2,3,3,5,1,4,1,3,5,3,2,1,5,3,5,2,3,"GB",1
5,5,5,3,5,5,5,5,5,5,3,4,1,5,2,1,1,5,5,2,2,4,5,3,5,5,5,"GB",3
4,4,4,4,5,5,4,3,4,4,4,1,1,5,2,1,3,5,5,3,5,1,5,4,3,4,4,"US",1
5,2,3,4,4,3,5,4,5,3,4,2,1,2,4,4,4,1,3,5,3,1,3,2,4,2,1,"RU",3
5,4,4,3,5,4,5,4,5,2,4,2,4,3,5,4,3,4,2,4,2,4,4,3,5,2,4,"US",1
2,3,4,4,4,4,5,2,4,2,1,2,4,4,2,2,5,5,1,4,4,1,4,3,5,1,1,"US",1
2,2,3,1,1,1,5,2,4,4,3,4,3,3,2,1,3,1,1,5,1,1,2,1,4,1,1,"US",3
4,4,3,3,3,2,4,3,4,3,3,3,3,2,4,4,3,4,4,4,2,3,3,4,4,3,2,"SE",1
2,2,2,2,1,1,4,1,4,4,4,1,2,4,1,4,4,2,2,4,1,1,4,1,4,2,1,"US",3
5,4,3,3,5,4,5,5,5,3,2,2,1,3,3,3,4,3,4,4,3,4,5,3,4,5,2,"US",1
5,4,5,5,4,4,5,2,4,3,4,4,3,4,4,3,4,4,4,5,2,2,4,2,2,3,3,"PH",1
3,3,4,4,4,4,4,3,1,3,3,5,4,4,4,4,4,3,3,3,3,1,3,2,4,1,0,"ID",2
5,4,1,3,5,5,5,3,5,2,5,1,1,5,5,1,1,3,5,5,4,1,5,2,5,1,1,"EG",2
5,2,2,4,4,4,4,2,4,4,4,2,2,4,2,2,4,4,2,4,1,1,2,2,2,1,1,"US",1
5,5,5,5,5,5,5,4,5,4,4,3,2,4,4,3,4,4,4,1,1,3,5,5,2,5,2,"US",1
3,1,2,1,1,1,4,2,1,1,3,1,1,1,2,1,4,2,1,4,1,1,2,1,5,1,1,"PL",1
3,2,3,3,1,2,5,1,3,4,2,3,3,2,4,4,2,4,4,3,1,2,3,1,5,1,2,"US",2
3,3,3,3,3,3,2,3,4,2,3,2,2,2,2,2,1,2,3,5,2,1,4,2,3,2,3,"GB",2
4,4,3,4,4,4,4,1,4,4,3,2,3,4,3,2,3,4,3,3,4,4,4,4,5,1,3,"CN",1
2,5,4,5,5,5,4,1,5,4,2,3,3,4,2,4,4,5,4,4,4,1,4,3,5,5,1,"US",1
4,5,5,4,4,4,4,3,5,2,5,2,4,5,5,1,1,3,4,4,3,2,2,3,2,1,4,"US",1
5,2,3,3,2,3,4,4,4,4,3,2,2,2,3,2,4,2,2,2,2,1,4,2,4,3,1,"AU",3
5,4,2,4,4,4,5,2,5,2,4,2,1,2,4,2,2,2,4,4,2,1,4,3,1,1,1,"TR",1
5,3,4,5,4,5,5,3,5,4,4,2,3,4,4,2,1,3,4,4,4,2,4,4,5,1,3,"CA",1
5,4,5,4,4,5,4,4,4,4,4,3,2,4,4,2,4,4,4,5,5,2,4,4,5,1,4,"US",3
5,4,4,4,4,4,5,4,4,4,4,2,3,3,4,2,2,4,4,4,2,2,4,2,3,1,2,"SG",1
4,3,3,4,4,5,5,3,5,4,3,3,3,4,4,2,4,2,3,3,3,1,2,3,5,2,1,"AU",1
5,5,5,4,5,5,5,5,5,4,1,4,4,5,1,4,1,5,4,1,5,5,5,4,2,5,5,"US",3
5,5,5,1,4,4,5,5,4,3,5,2,2,5,4,1,3,4,5,3,4,4,5,5,2,3,5,"PH",1
5,4,5,4,5,4,5,2,4,4,2,3,2,5,5,1,4,5,3,4,1,3,2,2,5,2,2,"US",3
5,2,3,4,2,1,4,2,2,2,4,2,2,4,4,2,3,1,2,4,2,2,1,1,4,1,1,"AU",3
4,5,5,4,5,5,4,5,5,5,1,5,5,5,1,5,1,5,5,3,3,2,5,5,5,1,5,"US",1
4,2,3,4,3,3,4,3,2,3,3,3,3,3,4,2,4,2,3,4,4,2,3,3,4,2,2,"NZ",2
4,5,5,5,5,5,5,4,5,4,2,3,4,5,4,3,1,2,4,1,2,1,2,2,4,5,5,"CA",1
4,1,3,2,2,2,3,2,4,3,3,3,3,3,3,3,3,3,3,5,2,2,2,2,2,2,2,"ZA",2
5,5,5,3,5,5,5,5,5,1,5,1,1,3,1,1,2,1,5,5,5,1,5,3,5,1,5,"AR",1
5,3,3,2,4,4,5,4,3,1,5,1,2,2,4,1,5,5,1,5,4,1,1,3,5,1,1,"US",1
5,4,4,5,4,4,5,4,4,3,2,4,3,2,2,3,1,4,4,2,4,5,4,5,2,1,5,"US",1
4,3,3,3,4,4,4,2,3,2,4,1,4,2,3,4,5,4,4,4,3,5,2,2,4,3,3,"US",3
4,4,3,2,4,4,4,2,3,2,4,2,2,4,5,1,4,2,3,3,3,1,4,2,2,3,2,"GB",1
2,3,2,3,3,1,1,3,1,5,3,4,1,2,5,3,1,5,2,4,1,1,1,1,5,1,1,"SG",2
5,1,3,3,5,5,5,4,4,5,4,2,1,4,1,1,1,5,2,1,2,4,5,2,5,3,1,"US",3
5,2,1,1,1,3,4,2,4,4,1,1,1,1,4,1,2,2,2,2,1,2,3,3,2,2,2,"CA",2
5,4,4,4,4,4,5,4,4,4,1,4,3,4,2,4,2,4,2,4,4,2,4,3,4,4,4,"US",3
4,3,3,3,4,3,5,3,4,2,4,2,2,3,4,3,4,3,2,4,4,3,4,3,5,1,2,"US",1
4,2,4,4,2,3,4,3,4,4,3,3,2,4,2,2,2,3,3,3,2,1,4,3,4,5,2,"GB",3
4,5,4,4,4,4,5,4,5,3,2,3,3,4,1,4,2,4,4,3,3,2,4,3,5,4,5,"CA",3
2,1,1,1,1,1,2,2,2,1,5,1,1,2,5,2,5,1,1,5,1,1,1,1,5,1,1,"DK",3
3,1,2,2,1,1,3,2,2,3,2,1,2,3,4,2,4,2,1,5,1,1,3,2,5,1,1,"US",2
4,3,3,2,4,3,5,2,4,4,5,2,1,4,4,4,2,3,3,3,1,1,4,2,5,3,3,"US",1
4,2,3,4,3,1,4,2,5,3,2,3,3,4,3,2,1,3,2,2,2,1,1,1,5,5,2,"ES",1
5,4,4,2,4,2,5,4,5,4,2,3,2,4,5,4,4,2,3,2,2,2,4,2,5,4,4,"US",1
5,5,5,2,5,5,5,5,5,4,4,3,1,3,2,4,4,5,5,2,5,5,5,4,3,4,5,"JO",1
4,3,5,3,2,2,4,1,2,3,5,1,1,4,5,3,3,1,2,4,1,1,4,1,5,1,1,"US",1
4,1,1,2,1,1,4,1,4,4,2,4,1,1,2,4,2,4,1,1,1,1,2,2,4,1,1,"CA",1
5,5,4,4,5,5,4,5,5,4,2,2,3,4,1,2,2,4,4,3,4,2,4,4,4,5,5,"US",2
5,4,4,4,5,4,5,5,5,3,2,2,4,4,5,2,4,5,4,4,4,2,3,2,2,4,1,"US",3
2,2,3,2,2,2,3,2,3,3,4,2,2,3,4,2,2,2,2,4,2,2,2,2,3,2,1,"CA",1
4,3,4,4,4,4,4,4,4,2,2,2,2,5,2,2,4,4,4,3,4,1,4,2,4,4,2,"US",1
2,1,4,2,2,4,4,2,3,1,5,1,1,2,5,1,4,4,4,3,4,1,4,1,4,1,1,"US",1
4,4,4,3,4,4,2,3,4,3,4,2,2,3,3,2,3,3,4,1,4,1,4,2,5,3,2,"US",2
4,1,1,3,1,1,3,1,2,3,4,1,1,4,2,3,2,1,1,5,1,1,1,1,5,1,2,"CA",3
5,5,5,5,5,5,5,4,4,5,2,4,3,5,2,4,1,5,5,2,2,2,5,4,4,2,4,"US",1
5,4,4,3,4,4,5,2,4,4,2,2,1,4,3,4,4,4,4,4,2,2,3,3,4,1,4,"US",2
5,4,3,5,4,4,4,3,5,4,2,1,4,5,2,2,2,5,4,2,3,2,5,2,1,3,4,"US",1
5,4,3,3,4,4,5,4,5,4,2,3,5,4,1,4,1,4,3,1,4,1,4,2,2,5,5,"US",1
5,4,4,3,5,5,5,3,4,2,4,3,2,4,4,2,4,3,4,4,1,1,4,3,5,1,3,"AU",1
5,1,2,1,4,5,5,1,5,2,2,2,1,5,3,2,3,4,4,3,5,1,5,2,1,5,5,"US",3
4,5,4,2,2,4,4,2,5,4,2,5,4,2,2,4,1,4,5,2,1,4,5,4,1,4,4,"GB",1
1,5,4,5,5,5,5,5,5,3,4,1,1,3,5,1,5,1,4,3,3,1,5,5,1,5,4,"US",1
5,2,2,2,2,3,5,5,3,3,5,1,3,1,3,2,5,2,2,5,2,1,3,2,5,1,3,"GB",3
5,4,4,4,3,5,5,3,4,3,3,3,3,4,2,3,3,3,3,4,2,2,3,3,5,3,3,"AU",1
2,4,1,1,4,1,4,1,2,1,4,1,1,1,5,1,4,4,1,4,1,1,4,1,5,1,1,"GB",2
4,4,4,4,5,4,5,5,3,4,5,2,3,5,5,4,5,5,4,3,4,3,4,4,5,1,4,"PH",1
4,4,3,5,5,5,5,4,5,2,2,3,4,3,1,4,1,4,2,4,2,2,3,5,5,4,3,"GB",1
5,5,3,3,3,5,5,4,5,4,3,5,4,4,2,4,1,4,4,1,5,5,5,5,3,4,5,"GB",1
4,4,4,4,4,4,4,3,4,4,2,4,4,3,2,3,2,4,4,2,4,5,4,4,4,3,4,"US",1
4,2,4,4,3,4,5,3,4,4,3,3,3,3,2,3,3,3,3,2,2,2,2,3,4,3,3,"NZ",2
5,5,1,5,5,5,5,5,5,1,5,1,1,1,5,1,5,5,5,5,5,5,5,5,3,3,3,"US",1
4,4,4,4,4,5,5,2,5,5,4,2,4,4,4,1,1,4,4,2,4,2,2,4,4,2,3,"US",3
5,3,3,1,4,3,5,3,5,5,4,4,4,3,3,3,1,3,3,2,3,3,5,5,1,3,3,"US",2
4,5,5,4,5,4,5,5,5,2,1,1,1,5,1,1,1,5,5,2,5,1,4,2,5,5,3,"US",3
5,4,4,4,4,5,5,3,4,3,5,3,3,4,5,3,4,2,4,5,4,2,4,3,4,3,4,"FI",3
4,2,4,4,3,3,5,2,4,5,2,4,2,2,2,4,5,5,3,4,4,5,1,4,4,1,4,"IN",2
5,2,4,2,3,4,5,4,4,3,3,4,2,4,1,3,4,4,2,5,2,2,4,3,5,3,4,"US",3
5,5,5,5,5,2,5,1,5,5,4,5,3,5,5,5,1,5,3,1,1,5,1,3,1,5,5,"US",1
5,4,3,3,5,5,5,4,5,4,3,4,4,3,3,3,1,4,4,1,3,4,4,5,2,3,2,"US",1
1,2,1,3,1,1,2,1,2,4,3,1,2,1,4,1,2,1,1,4,1,1,1,1,5,1,1,"US",1
2,2,4,2,4,3,4,5,2,4,2,4,4,4,2,4,2,5,4,3,4,2,4,4,4,4,3,"ID",3
5,4,4,4,4,4,5,4,4,4,2,2,2,4,4,2,4,2,2,2,4,2,4,2,5,1,2,"US",1
4,4,4,4,3,2,5,2,4,2,2,2,2,4,2,3,4,2,5,1,2,3,2,2,5,1,2,"GB",3
3,4,3,4,5,4,5,2,4,3,5,3,5,3,5,3,3,3,4,3,4,5,4,3,5,3,3,"US",1
4,4,5,4,4,5,5,2,4,5,2,4,4,5,4,4,2,2,4,2,1,2,4,5,4,3,3,"AU",2
4,4,4,4,5,4,4,4,5,2,2,4,4,3,2,4,1,3,5,1,4,5,5,4,2,5,5,"LT",1
4,3,3,3,3,4,4,4,4,1,2,4,2,3,2,2,4,5,4,4,4,2,4,3,4,3,4,"LT",2
4,4,4,2,1,2,5,1,2,4,2,3,2,4,3,1,4,3,2,5,2,1,4,2,5,1,1,"RS",1
5,3,5,3,4,4,5,3,5,4,3,4,3,4,3,4,2,4,4,3,3,2,2,4,2,2,2,"US",3
3,2,2,1,3,3,5,2,4,2,3,1,2,3,4,4,4,3,3,4,1,2,3,2,4,1,1,"US",1
5,4,1,2,1,1,4,4,3,3,4,1,1,1,4,5,2,5,1,5,1,1,3,1,5,1,1,"HR",1
4,4,5,5,5,4,4,2,5,1,2,3,1,5,2,1,4,3,4,3,2,1,4,2,5,5,2,"NL",1
3,2,4,4,2,2,4,2,4,4,2,3,3,4,2,4,1,3,2,4,2,2,3,2,5,2,2,"US",2
5,5,4,5,5,5,5,5,5,2,5,5,3,5,5,2,5,5,2,3,3,3,5,4,2,5,5,"US",1
5,4,3,1,5,4,5,5,4,4,4,5,3,2,2,2,1,5,5,2,3,2,5,4,4,5,2,"US",3
3,3,4,3,2,3,3,3,4,2,3,4,3,3,3,3,4,5,2,3,3,2,3,2,4,3,3,"PH",1
5,4,5,5,5,4,5,5,5,5,1,3,5,5,1,5,1,4,4,2,4,4,5,4,1,3,5,"GB",1
4,3,4,4,4,4,4,2,4,4,2,3,3,4,2,4,2,4,2,2,3,4,4,3,2,4,4,"IE",1
3,4,4,2,2,3,5,3,3,3,3,3,2,5,5,4,5,4,3,2,4,5,4,3,5,1,5,"US",1
5,4,3,3,4,5,5,4,5,2,1,2,2,4,2,3,1,5,4,3,4,2,5,3,1,5,5,"GB",1
5,1,2,1,1,1,5,2,2,5,3,2,4,1,4,4,4,3,1,4,1,1,1,1,5,1,1,"US",1
5,4,3,3,4,5,5,4,4,1,5,2,2,3,3,2,2,2,4,2,2,2,5,3,2,1,4,"AU",2
5,4,5,4,4,5,5,3,5,4,2,4,3,5,2,4,2,5,3,1,5,4,4,4,4,4,4,"US",2
4,5,4,4,4,5,5,5,5,4,2,4,4,5,3,3,4,4,2,2,2,3,4,4,4,3,5,"US",2
5,4,5,5,5,1,5,2,4,1,5,2,1,3,5,1,4,2,2,5,2,1,4,1,5,3,2,"CA",1
4,1,3,4,3,2,4,1,4,3,5,1,2,3,3,4,3,3,3,2,2,1,1,3,4,4,2,"CA",1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,3,5,2,5,5,5,3,5,5,3,"JP",2
4,3,3,3,3,3,5,3,5,3,1,3,1,4,2,3,2,3,2,1,3,3,3,3,2,4,2,"TR",3
4,5,4,4,3,3,5,3,4,4,1,4,3,5,2,2,1,5,4,2,3,4,3,3,2,2,4,"US",2
5,5,5,4,5,5,5,4,5,4,3,4,4,4,1,4,1,4,4,1,3,3,4,4,4,5,5,"NL",3
5,5,5,3,5,5,5,5,5,5,4,5,4,5,5,5,1,5,5,1,5,4,5,5,3,5,5,"AU",1
4,5,4,4,4,3,4,4,4,5,1,5,5,4,1,4,1,4,2,3,3,4,4,3,4,5,3,"CA",1
3,2,4,4,2,2,4,2,3,2,5,2,1,1,5,4,4,1,2,4,2,2,1,2,4,1,2,"US",1
4,4,2,4,5,5,4,3,5,4,3,3,3,4,1,3,3,5,5,1,4,3,4,5,5,4,5,"US",1
4,4,2,4,4,4,4,4,4,3,4,3,3,1,4,3,4,3,3,4,4,2,4,1,2,2,1,"US",1
5,3,2,4,1,2,5,2,2,4,5,3,1,4,5,3,1,4,4,2,2,2,2,4,4,2,1,"US",2
5,5,5,2,5,4,5,4,5,3,2,4,3,4,3,5,3,4,4,2,5,2,5,3,1,4,3,"US",2
2,2,2,2,2,2,3,1,3,3,2,2,3,4,3,3,2,4,2,4,2,3,3,1,4,2,1,"US",3
4,4,4,4,4,4,4,2,2,3,2,3,4,5,4,4,4,3,3,4,4,2,4,4,5,1,1,"IQ",1
4,1,2,2,2,5,2,2,5,4,2,2,1,3,2,4,1,4,1,1,1,1,4,2,5,1,1,"US",2
4,3,2,3,2,4,4,3,4,2,2,2,4,3,4,4,3,3,2,5,1,2,4,2,4,1,2,"US",1
4,2,3,4,4,4,4,3,4,3,4,3,2,4,3,3,1,3,3,4,2,2,3,2,2,2,3,"US",2
2,4,4,5,1,4,4,1,2,4,2,3,4,4,1,4,2,4,1,2,1,1,1,4,5,1,1,"US",3
4,3,4,4,3,3,4,3,4,5,2,3,3,4,4,3,3,3,3,4,3,2,2,4,2,3,2,"US",3
5,4,5,4,5,3,4,4,5,3,3,3,4,4,4,2,1,4,4,4,3,5,3,5,3,3,5,"US",1
3,5,1,3,2,3,3,1,5,4,3,1,3,4,4,1,2,4,4,2,1,2,4,2,4,1,1,"FR",1
5,4,5,5,5,5,5,5,5,4,2,4,5,5,1,4,1,5,4,2,4,1,4,4,5,5,5,"CA",3
4,4,4,1,3,4,5,2,5,3,3,2,3,4,2,3,1,5,4,3,3,4,4,3,3,3,3,"BR",1
4,3,2,4,3,4,4,2,3,4,4,2,2,4,4,4,4,2,2,4,2,2,4,2,4,2,2,"US",1
5,5,4,4,5,5,5,5,4,4,5,3,3,4,4,3,3,4,5,2,4,1,4,4,5,1,4,"US",1
5,3,3,4,3,4,5,2,3,3,2,4,2,4,4,2,2,4,4,1,2,4,3,3,1,4,3,"US",1
3,4,2,4,4,4,4,4,2,3,4,4,2,4,4,4,4,4,2,2,3,4,4,2,4,1,4,"IN",2
4,1,2,2,2,2,4,3,3,2,4,2,2,4,4,2,2,4,4,2,2,2,3,2,2,1,2,"US",1
