"M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source"
5,5,4,3,4,5,5,5,5,4,1,4,3,4,1,4,1,4,4,2,4,4,4,4,1,5,4,"US",3
5,3,3,3,3,4,5,4,4,5,2,4,4,4,4,3,2,5,3,3,3,2,4,2,5,1,4,"GB",1
5,4,2,4,3,4,5,4,5,2,5,2,2,3,3,2,4,4,4,4,3,1,4,2,5,5,2,"US",2
4,2,4,3,4,4,5,2,4,3,5,2,2,4,5,3,3,3,2,3,4,3,4,3,2,1,3,"US",1
5,2,3,5,4,3,5,3,5,3,5,2,4,2,2,1,4,2,4,4,2,1,0,2,5,0,2,"DE",3
5,3,4,5,3,5,5,5,2,3,2,1,3,5,3,1,3,3,4,3,2,2,3,2,2,4,3,"PR",1
4,2,2,2,2,2,5,2,2,4,2,2,2,2,4,2,4,2,2,2,2,2,3,2,5,1,2,"US",1
5,4,2,5,2,4,5,4,5,4,2,2,4,5,1,5,2,4,5,2,3,2,5,2,4,5,4,"RO",2
5,4,2,2,4,4,5,3,5,4,5,4,4,5,5,4,5,5,4,5,3,3,1,4,5,3,3,"US",3
5,4,4,4,4,4,5,4,4,5,1,3,4,3,3,4,2,4,3,4,3,2,5,4,5,3,4,"NZ",1
3,5,4,4,5,5,4,4,5,4,3,4,2,4,3,5,1,4,5,2,5,4,5,4,2,3,4,"US",1
5,2,3,4,1,5,5,1,4,2,5,1,3,4,5,4,5,4,2,5,2,1,1,1,5,1,1,"US",1
5,3,3,2,4,4,5,4,4,4,2,4,4,4,3,5,2,4,4,3,2,4,4,4,3,3,3,"CA",1
4,3,3,4,3,4,4,3,3,3,4,2,3,3,4,2,4,3,3,3,3,3,3,2,3,2,3,"BR",3
4,3,3,4,3,2,4,2,3,4,3,2,3,3,3,3,2,2,2,1,1,1,2,2,5,3,2,"US",1
4,4,2,3,4,4,5,5,4,4,4,2,2,3,2,2,1,3,2,5,3,1,4,4,2,4,2,"CA",3
5,5,4,5,5,4,4,4,4,2,5,3,2,3,3,2,3,4,4,5,4,4,5,3,5,1,1,"NL",1
5,5,5,3,5,5,5,5,5,4,3,4,3,4,3,3,2,5,5,1,5,4,5,5,2,3,4,"US",1
4,2,2,2,1,4,4,2,4,2,4,1,2,3,4,1,4,2,2,3,1,1,3,1,4,3,1,"CA",1
4,5,4,5,5,4,5,4,5,3,3,5,4,4,3,4,5,4,5,2,2,4,3,3,5,5,3,"AU",1
5,3,3,4,5,5,5,3,5,3,2,1,4,3,3,5,1,3,5,2,4,2,5,5,5,3,1,"US",1
5,3,2,5,5,5,5,5,2,3,3,2,3,2,4,1,5,2,2,4,5,3,5,3,2,2,1,"US",1
5,5,2,4,5,3,5,4,5,3,1,3,4,4,2,3,2,5,4,3,5,2,4,3,2,1,5,"TR",1
4,3,3,4,3,4,4,2,5,3,4,2,4,2,4,4,4,4,2,4,2,3,4,3,5,1,1,"PH",3
2,4,1,2,2,4,5,2,4,4,4,2,2,2,4,2,4,4,4,4,2,2,4,2,4,2,4,"PH",3
2,1,2,1,1,2,3,1,2,1,5,1,1,2,4,1,4,1,1,4,2,1,2,1,5,1,1,"CA",1
4,5,5,4,4,5,5,5,5,4,2,4,3,4,2,5,1,5,3,2,3,3,3,4,5,3,3,"AT",1
5,4,2,5,5,3,4,4,4,3,5,1,4,4,2,2,3,3,3,5,2,1,4,4,4,2,4,"ID",3
4,4,3,4,5,4,5,3,5,4,3,4,2,3,4,2,3,5,2,4,2,2,3,2,5,1,3,"BR",1
4,1,2,2,1,1,4,1,3,2,3,1,3,2,4,1,4,4,1,4,1,1,3,1,5,1,1,"IE",1
4,3,5,4,2,4,5,2,2,3,3,3,3,4,4,2,5,4,2,4,2,1,4,3,5,1,3,"PH",1
4,2,3,4,3,2,5,2,4,4,3,2,2,3,4,3,2,4,2,3,1,1,2,2,4,3,3,"US",1
4,4,3,2,2,2,4,3,3,4,2,2,2,3,2,3,2,3,2,2,2,2,4,2,3,4,2,"US",1
5,2,2,4,1,3,4,2,2,4,4,2,2,4,4,4,4,0,2,2,1,1,3,1,5,1,1,"US",3
4,5,4,5,4,4,4,4,5,4,4,3,2,5,2,3,1,2,4,3,2,3,5,5,2,5,1,"ID",2
5,4,5,5,5,5,5,5,5,3,2,2,4,5,4,5,1,5,5,2,5,4,5,5,4,4,5,"US",3
5,5,5,3,5,1,5,5,5,5,1,0,5,5,1,5,1,5,5,1,5,5,5,5,1,5,5,"US",1
4,3,3,3,3,3,4,2,4,3,4,2,3,2,4,4,2,4,2,3,2,2,4,3,4,1,2,"GB",1
4,2,2,2,2,2,4,2,2,4,3,2,1,3,4,3,1,3,1,4,1,3,4,1,4,2,1,"US",3
5,5,5,5,5,4,5,4,5,2,4,3,1,5,1,4,4,4,2,3,4,3,4,4,3,1,2,"US",2
4,5,3,3,4,5,3,3,4,3,4,3,4,3,4,2,4,2,3,3,5,2,4,2,5,1,2,"CA",1
5,4,4,4,5,4,5,2,5,2,5,3,5,5,5,4,1,2,4,2,2,5,5,3,4,1,4,"DE",3
4,3,4,4,5,4,5,4,2,2,4,1,1,3,3,4,3,5,5,5,5,2,5,2,3,2,2,"US",3
3,1,3,4,1,2,4,3,4,2,3,2,2,4,3,2,4,4,1,4,2,2,3,2,2,3,4,"US",2
5,4,5,2,5,4,5,4,5,4,5,1,1,2,4,1,4,3,4,4,4,1,5,4,2,1,3,"US",1
5,5,3,4,5,5,5,3,5,4,4,3,3,3,3,3,3,3,3,5,2,1,4,3,1,3,4,"US",3
4,2,1,3,1,1,2,1,2,3,3,1,3,1,4,1,5,1,4,5,2,4,4,3,3,1,1,"US",1
5,4,3,4,3,4,4,4,4,2,4,2,3,3,4,3,3,3,4,4,2,1,4,2,5,3,3,"AU",1
5,5,5,5,5,3,5,5,5,4,4,5,3,4,2,2,2,4,3,2,2,2,5,4,5,5,3,"GB",1
4,5,1,1,5,5,3,1,5,4,5,1,1,1,4,1,1,5,5,2,1,5,5,5,2,1,5,"US",1
4,2,4,5,3,1,4,4,2,2,5,2,2,3,5,1,5,3,3,5,1,2,1,1,5,1,1,"CA",2
5,5,3,3,5,5,5,4,5,5,4,4,3,3,3,5,1,3,1,2,5,1,5,3,5,3,3,"US",3
4,2,3,4,4,4,5,2,5,2,3,3,1,3,3,3,2,2,5,4,1,2,3,2,4,3,1,"US",2
5,4,2,3,4,4,5,2,4,3,4,3,1,3,2,2,3,2,4,3,1,1,4,4,3,1,2,"US",1
4,1,3,4,1,1,4,2,2,2,4,1,2,3,3,1,3,3,1,4,1,1,1,1,5,1,1,"US",1
4,4,1,4,4,5,5,2,5,4,2,3,4,4,4,4,1,4,2,4,4,1,1,2,1,3,1,"GB",3
5,5,3,5,5,5,4,5,5,4,3,4,4,5,2,3,2,4,5,4,5,2,5,5,2,1,5,"SK",1
4,4,3,4,4,5,4,1,3,4,3,2,2,3,2,2,2,2,1,4,1,1,2,3,4,1,1,"US",1
2,2,2,4,4,3,5,2,5,3,4,1,1,4,4,4,2,4,1,2,1,2,4,2,2,3,3,"GB",1
4,4,2,4,2,4,4,3,4,4,5,1,2,2,4,1,2,1,1,4,4,4,4,2,5,4,4,"US",1
4,2,3,2,2,4,4,1,5,4,2,2,3,3,2,4,2,4,1,2,2,1,3,3,3,3,1,"US",3
4,5,5,4,5,4,4,5,5,4,4,4,5,5,3,5,4,4,5,3,3,4,4,3,4,1,4,"AE",1
4,5,4,5,5,2,3,4,5,3,5,4,3,4,2,5,3,2,1,3,2,4,2,4,2,1,3,"US",3
5,3,4,2,2,3,5,2,5,5,1,2,4,4,1,2,1,5,2,2,1,2,5,2,1,5,2,"US",1
5,4,3,4,2,3,5,2,5,4,1,4,4,2,3,4,2,2,1,5,1,1,2,1,2,5,1,"GB",1
5,4,4,4,5,4,4,4,4,1,5,1,2,3,5,1,4,3,3,4,4,1,2,3,2,2,3,"GB",1
1,1,3,2,1,3,1,2,3,3,2,2,3,3,4,2,4,2,2,2,1,1,3,1,5,1,1,"US",1
2,1,2,4,3,1,3,1,3,2,3,1,4,1,1,1,3,4,1,3,1,3,4,1,1,5,1,"AU",2
5,4,5,4,4,5,5,3,4,4,2,3,2,4,4,2,5,3,3,5,2,1,4,3,2,4,4,"US",3
4,3,4,5,4,4,5,2,5,4,4,2,5,4,1,4,5,5,3,4,2,2,4,3,2,5,2,"US",3
5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,5,1,5,5,5,5,5,1,5,"GB",1
4,4,4,4,3,3,4,3,5,3,4,3,4,4,4,3,3,4,4,4,3,3,4,4,4,3,3,"CR",1
5,3,4,3,3,3,5,3,2,3,5,1,2,3,4,2,5,3,3,3,3,4,4,2,4,1,3,"PH",1
5,5,5,1,5,5,5,5,5,5,1,4,3,5,1,2,2,5,5,5,4,3,5,5,4,5,5,"US",1
4,2,2,3,1,2,4,2,2,4,3,2,2,1,4,2,2,1,2,3,1,1,4,1,5,1,2,"GB",1
5,4,3,4,3,4,5,5,4,4,2,3,1,3,5,1,4,2,2,2,1,3,2,2,5,1,3,"GB",1
4,2,2,2,4,4,4,2,3,4,2,2,2,4,3,4,2,4,2,3,3,2,4,3,4,2,2,"US",3
5,4,3,4,5,4,3,3,5,4,4,3,2,4,4,4,3,4,3,4,4,3,3,5,4,1,4,"AU",1
4,3,3,2,3,2,5,3,4,3,4,2,2,4,3,3,3,3,3,5,2,5,4,3,5,1,2,"RS",3
5,4,5,4,5,4,5,3,4,5,1,3,4,4,1,4,1,4,4,5,2,1,4,4,5,1,1,"US",1
5,5,3,5,5,3,5,3,5,1,5,1,1,3,2,1,5,1,3,3,3,3,1,2,5,3,4,"US",2
5,4,3,4,4,4,5,3,4,2,5,2,2,3,3,1,1,3,4,2,3,3,5,4,4,3,3,"GB",1
4,3,5,5,4,5,5,1,4,2,2,3,5,5,5,4,4,4,3,3,4,5,5,0,1,1,4,"AU",3
3,2,1,4,2,3,4,2,2,3,4,1,1,2,3,3,3,4,2,4,1,2,4,3,5,0,3,"US",3
5,4,2,4,4,4,4,2,4,4,3,2,1,3,3,1,4,3,2,3,2,2,5,3,3,1,2,"US",2
4,4,1,3,3,5,1,4,4,1,5,1,1,1,1,1,1,1,4,2,1,4,4,1,3,3,4,"GB",1
5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,1,5,5,1,5,2,5,5,5,1,5,"AU",1
5,5,5,2,4,5,5,3,5,5,1,5,5,5,4,5,1,5,4,2,4,5,5,5,2,5,5,"US",2
4,1,4,5,5,5,4,2,3,2,4,2,2,3,5,1,5,2,3,5,4,2,4,3,5,1,1,"US",1
5,3,3,4,4,4,3,4,4,4,3,2,3,3,4,2,4,3,3,4,1,2,4,4,5,1,2,"US",1
2,2,3,4,2,2,4,3,3,4,3,2,2,3,4,2,2,3,1,4,1,2,2,1,4,3,2,"GB",3
4,4,5,5,5,4,5,3,4,4,1,3,2,5,1,2,2,4,3,4,4,2,4,2,5,3,3,"GR",3
2,4,2,4,2,4,4,2,4,4,3,3,1,3,2,4,1,3,4,3,2,2,4,2,2,4,2,"US",3
5,4,4,4,4,4,4,3,4,5,3,4,5,4,1,5,1,5,4,4,4,5,5,4,5,2,3,"GB",3
4,3,2,3,2,2,4,4,4,3,2,2,2,2,2,4,4,3,2,3,3,2,4,2,2,4,2,"RU",3
4,4,3,2,2,4,4,3,4,3,3,3,3,4,4,4,3,4,3,3,2,3,4,3,4,1,4,"US",1
4,2,2,3,3,3,4,2,3,2,5,2,2,3,4,4,2,2,2,4,2,1,3,2,2,2,2,"PE",3
1,2,4,2,1,2,4,2,1,3,5,1,1,3,3,1,2,4,4,5,1,2,3,3,5,1,2,"PH",2
4,3,2,2,3,4,5,3,5,2,4,3,3,2,3,3,2,4,4,2,3,2,4,4,1,4,2,"US",2
4,3,3,3,3,3,4,3,4,3,1,3,4,4,3,4,1,4,3,2,3,3,2,3,4,2,2,"US",1
5,5,4,4,5,5,5,3,5,4,3,3,1,5,3,5,1,3,5,1,3,5,5,4,5,5,2,"DE",1
5,5,5,4,5,5,5,5,5,5,2,5,4,5,1,5,1,5,4,2,5,5,5,5,5,5,5,"US",2
4,4,4,2,3,4,5,4,4,4,4,3,3,3,2,4,2,2,3,2,2,5,4,3,5,1,3,"US",3
5,5,5,5,5,5,5,5,5,5,0,2,5,5,5,5,3,5,5,5,5,1,5,5,5,3,5,"US",1
5,4,3,4,4,5,5,4,4,2,4,2,3,3,3,4,4,4,3,3,2,4,5,4,3,4,5,"US",1
5,5,3,4,4,4,5,3,5,1,5,1,1,2,5,3,4,2,3,5,2,1,4,2,5,1,4,"US",2
4,5,4,4,4,4,5,3,4,2,3,2,2,5,4,4,3,3,2,3,3,2,3,3,4,2,4,"US",1
5,4,5,5,5,5,5,5,4,3,2,3,2,5,2,5,1,4,4,4,4,4,5,4,5,2,5,"PH",1
5,4,5,2,4,4,5,4,4,4,1,4,4,4,3,5,1,3,3,2,4,4,5,3,2,4,4,"GB",1
4,4,5,5,2,4,4,3,4,4,2,3,4,4,3,2,2,4,2,3,2,3,4,2,2,2,2,"CA",1
4,3,4,1,3,3,3,4,4,4,2,3,3,3,2,3,2,5,3,3,1,4,4,3,5,2,4,"PL",1
5,3,2,5,4,3,5,2,3,3,3,2,2,4,4,2,3,2,2,4,2,1,3,2,5,1,2,"US",1
4,4,3,3,5,5,5,5,2,1,4,1,1,3,5,2,4,4,3,4,2,3,5,3,4,2,3,"FI",3
5,3,4,4,3,2,4,3,5,4,0,3,2,5,5,3,4,3,4,2,2,4,3,1,5,4,1,"US",1
4,5,5,5,5,4,5,4,5,4,3,3,2,5,4,3,3,4,4,3,5,2,3,2,5,4,5,"IE",1
5,5,5,2,4,4,5,4,5,4,4,3,3,4,3,2,4,3,3,4,2,1,4,4,4,3,5,"GB",1
5,5,4,5,5,5,5,3,5,2,5,2,2,5,4,2,2,2,4,2,2,1,2,2,5,1,5,"US",1
5,4,4,4,4,4,5,4,5,3,3,3,2,3,2,2,2,4,5,3,4,2,3,5,4,2,4,"DE",1
5,5,5,5,1,5,5,5,3,3,5,1,1,1,1,1,1,3,1,1,1,1,5,3,5,3,1,"BR",3
