"item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","country","source"
4,4,2,2,2,4,5,2,4,3,4,3,2,3,5,4,2,4,5,4,1,2,4,4,5,3,2,"US",1
5,5,4,5,4,5,5,4,5,4,5,1,4,5,4,3,1,4,4,2,2,2,5,4,5,5,2,"US",1
2,2,3,1,1,1,5,2,4,4,3,4,3,3,2,1,3,1,1,5,1,1,2,1,4,1,1,"US",3
4,1,4,5,3,4,5,2,3,3,2,4,4,4,4,2,2,5,2,5,2,1,2,2,4,1,1,"US",2
2,3,4,4,1,3,2,2,4,4,2,3,4,4,1,4,1,1,4,2,2,2,2,3,4,1,1,"AU",1
5,4,4,5,3,5,5,3,2,3,2,1,2,5,3,3,5,4,2,2,1,1,1,3,5,3,1,"US",1
5,5,5,2,5,5,5,5,5,5,1,4,5,5,1,5,1,5,5,3,5,1,5,5,5,2,5,"CA",2
5,4,2,4,5,5,5,4,5,4,4,2,2,2,2,2,2,2,4,2,5,1,2,5,4,3,2,"US",3
5,5,3,5,4,5,5,3,5,2,5,2,3,1,3,1,4,3,4,4,1,4,5,3,2,4,1,"ES",1
4,4,4,4,5,4,4,4,4,3,4,3,2,5,4,2,4,3,4,4,3,1,4,3,5,4,2,"GB",1
4,1,2,4,1,2,5,3,2,3,4,2,1,1,4,4,5,3,1,5,1,1,4,1,2,4,1,"GB",1
4,5,4,4,4,4,5,5,5,4,2,4,4,4,1,4,2,4,4,2,4,2,4,3,2,5,4,"US",3
4,4,3,4,4,4,4,2,4,2,2,3,1,2,3,2,4,2,4,3,4,2,4,3,2,4,4,"US",1
4,1,2,5,2,3,5,2,5,5,2,4,2,4,1,3,4,2,3,2,1,3,5,2,4,1,2,"SG",1
4,4,3,4,2,3,4,5,2,3,3,4,4,2,2,5,2,5,2,4,2,2,4,3,4,3,3,"US",3
5,5,4,4,3,4,5,2,4,3,3,2,4,2,2,2,4,3,2,4,4,4,4,2,5,1,5,"US",1
5,4,3,5,4,4,4,3,4,2,4,2,3,3,4,2,3,3,3,4,3,2,3,3,5,1,3,"RO",1
4,2,2,3,2,2,4,2,2,4,4,2,2,4,4,2,4,2,2,4,2,2,2,2,4,1,2,"US",1
5,5,4,5,5,5,5,4,5,4,4,4,3,4,2,3,3,3,4,2,3,1,3,3,5,1,4,"US",1
5,5,4,5,5,5,5,4,5,4,2,3,2,3,1,3,1,4,3,4,2,4,5,3,2,5,4,"US",1
5,2,3,3,4,3,5,3,4,2,1,2,3,4,2,2,3,4,4,4,4,1,4,3,5,5,1,"US",2
4,1,1,4,2,1,4,2,5,3,2,3,3,3,4,3,4,5,1,4,1,1,3,1,5,1,1,"RO",1
5,5,3,5,4,3,5,3,5,5,2,5,3,4,5,5,1,3,5,5,3,2,5,3,5,3,5,"NG",3
2,5,5,4,5,4,4,4,4,5,1,3,5,5,1,4,1,4,5,2,3,2,5,4,2,4,5,"US",2
5,4,4,2,4,2,5,4,5,4,2,3,2,4,5,4,4,2,3,2,2,2,4,2,5,4,4,"US",1
4,4,3,5,4,5,5,3,4,3,3,3,4,4,3,5,2,3,4,4,4,2,3,3,5,1,3,"US",3
3,4,1,1,1,1,4,3,5,4,4,1,1,1,5,1,5,1,1,2,1,4,4,4,5,2,1,"GB",3
5,4,3,3,3,3,5,4,4,4,4,2,4,4,3,2,2,4,4,2,3,3,5,4,2,2,4,"US",1
4,2,4,4,3,2,5,3,4,4,5,2,2,4,3,2,2,3,2,4,2,2,4,2,5,3,2,"US",2
5,1,2,3,2,1,5,2,4,2,5,1,1,3,3,1,4,3,1,5,1,1,1,1,5,1,2,"US",1
4,1,1,4,3,3,5,1,1,4,1,1,3,1,5,4,2,3,3,5,2,3,4,1,4,2,1,"SE",3
4,5,5,5,5,5,5,4,5,4,2,4,3,4,5,3,4,3,3,1,5,5,5,4,2,5,5,"US",1
5,2,1,2,1,2,4,2,4,3,4,1,2,1,2,1,3,2,2,4,2,1,4,2,4,2,1,"CA",1
5,4,5,4,4,4,5,2,4,5,1,4,5,4,5,5,1,4,4,2,2,4,3,5,2,3,2,"US",1
4,5,2,2,4,5,5,3,5,5,3,5,4,3,4,5,1,5,5,2,5,3,4,5,5,1,3,"US",1
5,4,5,4,5,5,4,5,5,2,4,3,4,5,3,2,1,4,4,4,4,4,5,4,1,2,4,"US",1
4,5,4,5,4,4,5,2,4,3,2,2,2,4,3,2,4,2,2,2,2,3,4,2,4,5,2,"AU",1
5,4,5,3,4,4,3,4,3,2,3,1,4,4,5,3,4,4,3,4,4,3,3,3,5,2,1,"IN",3
4,2,2,3,4,4,4,3,4,3,2,4,2,4,3,4,2,3,2,4,2,2,4,2,4,3,2,"CA",3
5,4,5,4,5,5,5,5,5,4,2,1,1,5,2,5,1,4,2,5,2,2,5,2,5,4,5,"PH",2
5,4,3,3,5,4,5,5,5,3,2,2,1,3,3,3,4,3,4,4,3,4,5,3,4,5,2,"US",1
3,5,3,4,2,2,5,3,4,2,3,4,1,4,3,3,4,5,3,1,3,5,1,2,5,3,5,"IN",2
5,5,3,3,5,5,5,5,5,5,3,5,3,3,1,5,1,5,5,2,5,1,5,5,1,2,4,"PR",3
5,2,2,2,2,2,4,2,4,5,4,4,3,2,4,2,4,2,1,4,1,2,2,2,4,1,2,"US",2
4,1,1,2,1,2,4,1,3,1,5,1,1,1,5,2,4,1,2,1,1,3,4,1,3,1,1,"US",3
4,1,2,3,2,1,4,1,3,2,5,1,1,2,5,3,3,1,2,5,1,1,2,1,5,1,1,"DE",3
5,5,2,4,4,5,5,3,3,2,3,2,2,3,4,2,3,4,3,4,4,2,5,5,1,5,1,"US",1
4,2,2,3,2,2,4,1,2,2,4,2,2,2,3,4,1,3,5,3,3,3,3,2,5,4,2,"GB",1
5,3,2,4,5,5,5,5,4,3,3,2,4,5,5,4,2,2,4,2,2,3,5,5,5,3,3,"US",2
4,4,1,1,4,2,5,4,4,2,3,2,1,1,2,2,4,1,4,2,3,2,4,2,4,3,4,"AU",1
5,5,5,5,5,5,5,4,5,4,3,4,3,4,4,4,3,5,5,4,4,2,5,4,2,2,5,"US",2
5,4,4,5,5,5,5,4,5,2,5,1,1,3,5,2,2,3,3,4,4,2,5,3,5,1,4,"US",1
4,4,4,5,4,4,4,2,4,4,2,2,2,5,4,4,2,4,2,2,4,4,5,2,2,4,2,"US",3
5,5,4,4,5,5,4,4,5,4,4,3,4,4,4,2,2,3,3,2,4,3,4,3,4,4,4,"RO",1
5,4,5,3,2,5,4,2,5,5,1,3,4,5,1,3,1,5,5,2,2,2,3,5,2,3,4,"US",1
4,4,2,4,3,4,4,2,3,3,5,3,2,2,4,2,4,4,2,3,4,2,4,4,4,1,2,"US",1
4,2,3,3,3,3,5,3,4,4,1,3,2,4,5,2,4,3,1,5,1,1,4,2,5,1,2,"GB",3
5,4,3,4,5,4,5,3,5,2,4,2,4,4,2,3,2,4,3,4,2,3,3,3,5,1,3,"DE",1
5,3,4,4,4,4,4,4,5,4,2,3,4,4,3,2,1,4,3,4,2,2,2,2,1,4,2,"US",2
2,2,3,3,3,3,5,2,3,2,5,2,1,2,5,1,5,2,2,4,2,1,3,1,5,4,2,"FI",3
4,1,2,2,2,2,5,4,5,1,3,1,4,1,1,1,5,5,1,4,1,1,4,1,5,2,2,"DE",1
3,2,2,3,1,2,4,1,4,2,2,1,3,3,2,1,2,2,2,3,2,1,2,2,4,3,2,"SE",3
4,4,4,2,5,5,4,4,4,5,2,5,4,5,4,2,4,3,4,4,4,3,4,3,5,4,2,"US",2
4,3,2,2,2,1,3,2,4,4,2,2,3,2,4,2,2,2,2,4,1,1,4,2,4,2,3,"US",3
2,4,4,4,1,2,4,1,4,5,2,2,2,4,2,4,1,3,4,2,2,1,4,2,4,3,1,"PE",1
2,1,2,2,2,2,3,3,2,5,3,1,4,3,2,4,4,3,3,4,3,3,2,2,2,2,2,"CA",1
5,4,4,3,4,5,5,3,4,4,3,3,2,4,2,5,1,4,4,3,4,1,4,3,4,4,4,"US",1
4,3,4,4,3,4,5,4,4,4,3,3,4,4,2,4,1,4,4,4,3,2,2,3,3,2,3,"US",1
4,4,2,4,3,3,5,1,5,4,5,4,1,2,5,2,3,2,2,5,2,4,1,5,4,3,3,"US",3
4,4,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,2,4,4,4,4,3,3,4,"US",1
5,2,4,4,3,3,4,3,4,4,4,2,3,3,4,2,3,2,3,4,2,1,1,1,5,1,2,"US",2
4,2,3,2,4,4,5,1,2,3,2,2,1,3,5,1,3,2,2,3,3,1,3,2,2,5,2,"US",1
4,5,4,5,4,5,4,4,4,3,2,4,4,4,2,4,4,3,2,2,4,4,4,3,4,2,4,"GB",1
5,4,4,5,3,2,5,4,4,5,2,4,3,5,3,2,4,4,3,5,3,1,4,4,4,1,4,"US",1
2,2,3,4,2,1,4,4,2,3,2,3,2,4,3,3,3,1,2,2,1,1,2,1,5,3,2,"US",3
3,4,3,4,3,4,2,2,4,4,4,2,2,2,4,2,4,3,2,4,2,1,2,2,1,3,3,"US",3
5,4,4,4,4,3,5,5,5,4,3,3,3,5,2,5,3,4,1,3,3,2,4,3,5,3,3,"US",1
